"","Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Savings_account_bonds","Present_employment_since","Installment_rate_in_percentage_of_disposable_income","Personal_status_and_sex","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","foreign_worker","Good_Loan"
"258","... < 0 DM",12,"all credits at this bank paid back duly","radio/television",2149,"... < 100 DM","1 < =  ... < 4 years",4,"male : divorced/separated","none",1,"unknown / no property",29,"none","for free",1,"skilled employee / official",1,"none","yes","BadLoan"
"259","no checking account",15,"existing credits paid back duly till now","car (used)",3812,"100 < =  ... < 500 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"260","no checking account",11,"critical account/other credits existing (not at this bank)","radio/television",1154,"100 < =  ... < 500 DM","unemployed",4,"female : divorced/separated/married","none",4,"real estate",57,"none","own",3,"unskilled - resident",1,"none","yes","GoodLoan"
"261","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",1657,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","none",2,"real estate",27,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"262","... < 0 DM",24,"existing credits paid back duly till now","radio/television",1603,"... < 100 DM",".. > =  7 years",4,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",55,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"263","... < 0 DM",18,"critical account/other credits existing (not at this bank)","car (new)",5302,"... < 100 DM",".. > =  7 years",2,"male : single","none",4,"unknown / no property",36,"none","for free",3,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"264","no checking account",12,"critical account/other credits existing (not at this bank)","education",2748,"... < 100 DM",".. > =  7 years",2,"female : divorced/separated/married","none",4,"unknown / no property",57,"bank","for free",3,"unskilled - resident",1,"none","yes","GoodLoan"
"265","no checking account",10,"critical account/other credits existing (not at this bank)","car (new)",1231,"... < 100 DM",".. > =  7 years",3,"male : single","none",4,"real estate",32,"none","own",2,"unskilled - resident",2,"none","no","GoodLoan"
"266","0 < =  ... < 200 DM",15,"existing credits paid back duly till now","radio/television",802,"... < 100 DM",".. > =  7 years",4,"male : single","none",3,"if not A121/A122 : car or other, not in attribute 6",37,"none","own",1,"skilled employee / official",2,"none","yes","BadLoan"
"267","no checking account",36,"critical account/other credits existing (not at this bank)","business",6304,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"268","no checking account",24,"existing credits paid back duly till now","radio/television",1533,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",3,"if not A121/A122 : car or other, not in attribute 6",38,"stores","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"269","... < 0 DM",14,"existing credits paid back duly till now","car (new)",8978,"... < 100 DM",".. > =  7 years",1,"male : divorced/separated","none",4,"if not A121 : building society savings agreement/life insurance",45,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","no","BadLoan"
"270","no checking account",24,"existing credits paid back duly till now","radio/television",999,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",25,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"271","no checking account",18,"existing credits paid back duly till now","car (new)",2662,"unknown/ no savings account","4 < =  ... < 7 years",4,"male : single","none",3,"if not A121 : building society savings agreement/life insurance",32,"none","own",1,"skilled employee / official",1,"none","no","GoodLoan"
"272","no checking account",12,"critical account/other credits existing (not at this bank)","furniture/equipment",1402,"500 < =  ... < 1000 DM","4 < =  ... < 7 years",3,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",37,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"273","0 < =  ... < 200 DM",48,"all credits at this bank paid back duly","car (new)",12169,"unknown/ no savings account","unemployed",4,"male : single","co-applicant",4,"unknown / no property",36,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"274","0 < =  ... < 200 DM",48,"existing credits paid back duly till now","radio/television",3060,"... < 100 DM","4 < =  ... < 7 years",4,"male : single","none",4,"real estate",28,"none","own",2,"skilled employee / official",1,"none","yes","BadLoan"
"275","... < 0 DM",30,"existing credits paid back duly till now","repairs",11998,"... < 100 DM","... < 1 year",1,"male : divorced/separated","none",1,"unknown / no property",34,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","BadLoan"
"276","no checking account",9,"existing credits paid back duly till now","radio/television",2697,"... < 100 DM","1 < =  ... < 4 years",1,"male : single","none",2,"real estate",32,"none","own",1,"skilled employee / official",2,"none","yes","GoodLoan"
"277","no checking account",18,"critical account/other credits existing (not at this bank)","radio/television",2404,"... < 100 DM","1 < =  ... < 4 years",2,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",26,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"278","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",1262,"unknown/ no savings account",".. > =  7 years",2,"male : divorced/separated","none",4,"if not A121 : building society savings agreement/life insurance",49,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","GoodLoan"
"279","no checking account",6,"existing credits paid back duly till now","furniture/equipment",4611,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",32,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"280","no checking account",24,"existing credits paid back duly till now","radio/television",1901,"100 < =  ... < 500 DM","1 < =  ... < 4 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",29,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"281","no checking account",15,"critical account/other credits existing (not at this bank)","car (used)",3368,".. > =  1000 DM",".. > =  7 years",3,"male : single","none",4,"unknown / no property",23,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"282","no checking account",12,"existing credits paid back duly till now","furniture/equipment",1574,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",2,"real estate",50,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"283","... > =  200 DM / salary assignments for at least 1 year",18,"all credits at this bank paid back duly","radio/television",1445,"unknown/ no savings account","4 < =  ... < 7 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",49,"bank","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"284","no checking account",15,"critical account/other credits existing (not at this bank)","furniture/equipment",1520,"unknown/ no savings account",".. > =  7 years",4,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",63,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"285","0 < =  ... < 200 DM",24,"critical account/other credits existing (not at this bank)","car (new)",3878,"100 < =  ... < 500 DM","... < 1 year",4,"male : divorced/separated","none",2,"if not A121/A122 : car or other, not in attribute 6",37,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"286","... < 0 DM",47,"existing credits paid back duly till now","car (new)",10722,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",1,"real estate",35,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","GoodLoan"
"287","... < 0 DM",48,"existing credits paid back duly till now","car (used)",4788,"... < 100 DM","4 < =  ... < 7 years",4,"male : single","none",3,"if not A121 : building society savings agreement/life insurance",26,"none","own",1,"skilled employee / official",2,"none","yes","GoodLoan"
"288","0 < =  ... < 200 DM",48,"delay in paying off in the past","others",7582,"100 < =  ... < 500 DM","unemployed",2,"male : single","none",4,"unknown / no property",31,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"289","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","radio/television",1092,"... < 100 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","guarantor",4,"real estate",49,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"290","... < 0 DM",24,"delay in paying off in the past","radio/television",1024,"... < 100 DM","... < 1 year",4,"male : married/widowed","none",4,"real estate",48,"stores","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"291","no checking account",12,"existing credits paid back duly till now","business",1076,"... < 100 DM","1 < =  ... < 4 years",2,"male : married/widowed","none",2,"real estate",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","no","GoodLoan"
"292","0 < =  ... < 200 DM",36,"existing credits paid back duly till now","car (used)",9398,"... < 100 DM","... < 1 year",1,"male : married/widowed","none",4,"if not A121/A122 : car or other, not in attribute 6",28,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"293","... < 0 DM",24,"critical account/other credits existing (not at this bank)","car (used)",6419,"... < 100 DM",".. > =  7 years",2,"female : divorced/separated/married","none",4,"unknown / no property",44,"none","for free",2,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","GoodLoan"
"294","... > =  200 DM / salary assignments for at least 1 year",42,"critical account/other credits existing (not at this bank)","car (used)",4796,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"unknown / no property",56,"none","for free",1,"skilled employee / official",1,"none","yes","GoodLoan"
"295","no checking account",48,"critical account/other credits existing (not at this bank)","business",7629,"unknown/ no savings account",".. > =  7 years",4,"male : divorced/separated","none",2,"if not A121/A122 : car or other, not in attribute 6",46,"bank","own",2,"management/ self-employed/highly qualified employee/ officer",2,"none","yes","GoodLoan"
"296","0 < =  ... < 200 DM",48,"existing credits paid back duly till now","furniture/equipment",9960,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",26,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"297","no checking account",12,"existing credits paid back duly till now","car (used)",4675,"unknown/ no savings account","... < 1 year",1,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",20,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"298","no checking account",10,"existing credits paid back duly till now","car (new)",1287,"unknown/ no savings account",".. > =  7 years",4,"male : single","co-applicant",2,"if not A121 : building society savings agreement/life insurance",45,"none","own",1,"unskilled - resident",1,"none","no","GoodLoan"
"299","no checking account",18,"existing credits paid back duly till now","furniture/equipment",2515,"... < 100 DM","1 < =  ... < 4 years",3,"male : single","none",4,"real estate",43,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"300","0 < =  ... < 200 DM",21,"critical account/other credits existing (not at this bank)","furniture/equipment",2745,".. > =  1000 DM","4 < =  ... < 7 years",3,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",32,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"301","no checking account",6,"existing credits paid back duly till now","car (new)",672,"... < 100 DM","unemployed",1,"female : divorced/separated/married","none",4,"real estate",54,"none","own",1,"unemployed/ unskilled - non-resident",1,"yes, registered under the customers name","yes","GoodLoan"
"302","0 < =  ... < 200 DM",36,"no credits taken/all credits paid back duly","radio/television",3804,"... < 100 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",1,"if not A121/A122 : car or other, not in attribute 6",42,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"303","... > =  200 DM / salary assignments for at least 1 year",24,"critical account/other credits existing (not at this bank)","car (new)",1344,"unknown/ no savings account","4 < =  ... < 7 years",4,"male : single","none",2,"real estate",37,"bank","own",2,"unskilled - resident",2,"none","yes","BadLoan"
"304","... < 0 DM",10,"critical account/other credits existing (not at this bank)","car (new)",1038,"... < 100 DM","4 < =  ... < 7 years",4,"male : single","co-applicant",3,"if not A121 : building society savings agreement/life insurance",49,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"305","no checking account",48,"critical account/other credits existing (not at this bank)","car (new)",10127,"500 < =  ... < 1000 DM","1 < =  ... < 4 years",2,"male : single","none",2,"unknown / no property",44,"bank","for free",1,"skilled employee / official",1,"none","yes","BadLoan"
"306","no checking account",6,"existing credits paid back duly till now","furniture/equipment",1543,".. > =  1000 DM","1 < =  ... < 4 years",4,"male : divorced/separated","none",2,"real estate",33,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"307","no checking account",30,"existing credits paid back duly till now","car (used)",4811,"unknown/ no savings account","4 < =  ... < 7 years",2,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",24,"stores","rent",1,"unskilled - resident",1,"none","yes","GoodLoan"
"308","... < 0 DM",12,"existing credits paid back duly till now","radio/television",727,"100 < =  ... < 500 DM","... < 1 year",4,"male : married/widowed","none",3,"unknown / no property",33,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","BadLoan"
"309","0 < =  ... < 200 DM",8,"existing credits paid back duly till now","furniture/equipment",1237,"... < 100 DM","1 < =  ... < 4 years",3,"female : divorced/separated/married","none",4,"real estate",24,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"310","0 < =  ... < 200 DM",9,"existing credits paid back duly till now","car (new)",276,"... < 100 DM","1 < =  ... < 4 years",4,"male : married/widowed","none",4,"real estate",22,"none","rent",1,"unskilled - resident",1,"none","yes","GoodLoan"
"311","0 < =  ... < 200 DM",48,"existing credits paid back duly till now","others",5381,"unknown/ no savings account","unemployed",3,"male : single","none",4,"unknown / no property",40,"bank","for free",1,"unemployed/ unskilled - non-resident",1,"yes, registered under the customers name","yes","GoodLoan"
"312","no checking account",24,"existing credits paid back duly till now","furniture/equipment",5511,"100 < =  ... < 500 DM","1 < =  ... < 4 years",4,"male : single","none",1,"if not A121/A122 : car or other, not in attribute 6",25,"stores","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"313","... > =  200 DM / salary assignments for at least 1 year",24,"existing credits paid back duly till now","furniture/equipment",3749,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",26,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"314","0 < =  ... < 200 DM",12,"existing credits paid back duly till now","car (new)",685,"... < 100 DM","4 < =  ... < 7 years",2,"male : married/widowed","none",3,"if not A121/A122 : car or other, not in attribute 6",25,"bank","own",1,"unskilled - resident",1,"none","yes","BadLoan"
"315","... > =  200 DM / salary assignments for at least 1 year",4,"existing credits paid back duly till now","car (new)",1494,"unknown/ no savings account","... < 1 year",1,"male : single","none",2,"real estate",29,"none","own",1,"unskilled - resident",2,"none","no","GoodLoan"
"316","... < 0 DM",36,"all credits at this bank paid back duly","furniture/equipment",2746,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",31,"bank","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"317","... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",708,"... < 100 DM","1 < =  ... < 4 years",2,"male : single","guarantor",3,"if not A121 : building society savings agreement/life insurance",38,"none","own",1,"unskilled - resident",2,"none","yes","GoodLoan"
"318","0 < =  ... < 200 DM",24,"existing credits paid back duly till now","furniture/equipment",4351,"unknown/ no savings account","1 < =  ... < 4 years",1,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",48,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","GoodLoan"
"319","no checking account",12,"critical account/other credits existing (not at this bank)","education",701,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",32,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"320","... < 0 DM",15,"delay in paying off in the past","furniture/equipment",3643,"... < 100 DM",".. > =  7 years",1,"female : divorced/separated/married","none",4,"if not A121 : building society savings agreement/life insurance",27,"none","own",2,"unskilled - resident",1,"none","yes","GoodLoan"
"321","0 < =  ... < 200 DM",30,"critical account/other credits existing (not at this bank)","car (new)",4249,"... < 100 DM","unemployed",4,"male : married/widowed","none",2,"if not A121/A122 : car or other, not in attribute 6",28,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","BadLoan"
"322","... < 0 DM",24,"existing credits paid back duly till now","radio/television",1938,"... < 100 DM","... < 1 year",4,"male : divorced/separated","none",3,"if not A121 : building society savings agreement/life insurance",32,"none","own",1,"skilled employee / official",1,"none","yes","BadLoan"
"323","... < 0 DM",24,"existing credits paid back duly till now","car (used)",2910,"... < 100 DM","4 < =  ... < 7 years",2,"male : single","none",1,"unknown / no property",34,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"324","... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",2659,".. > =  1000 DM","1 < =  ... < 4 years",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",28,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"325","no checking account",18,"critical account/other credits existing (not at this bank)","car (new)",1028,"... < 100 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",3,"real estate",36,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"326","... < 0 DM",8,"critical account/other credits existing (not at this bank)","car (new)",3398,"... < 100 DM","4 < =  ... < 7 years",1,"male : single","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"none","no","GoodLoan"
"327","no checking account",12,"critical account/other credits existing (not at this bank)","furniture/equipment",5801,"unknown/ no savings account",".. > =  7 years",2,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",49,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"328","no checking account",24,"existing credits paid back duly till now","car (new)",1525,".. > =  1000 DM","4 < =  ... < 7 years",4,"female : divorced/separated/married","none",3,"if not A121/A122 : car or other, not in attribute 6",34,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name","yes","GoodLoan"
"329","... > =  200 DM / salary assignments for at least 1 year",36,"existing credits paid back duly till now","radio/television",4473,"... < 100 DM",".. > =  7 years",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",31,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"330","0 < =  ... < 200 DM",6,"existing credits paid back duly till now","radio/television",1068,"... < 100 DM",".. > =  7 years",4,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",28,"none","own",1,"skilled employee / official",2,"none","yes","GoodLoan"
"331","... < 0 DM",24,"critical account/other credits existing (not at this bank)","car (used)",6615,"... < 100 DM","unemployed",2,"male : single","none",4,"unknown / no property",75,"none","for free",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"332","no checking account",18,"critical account/other credits existing (not at this bank)","education",1864,"100 < =  ... < 500 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",2,"real estate",30,"none","own",2,"skilled employee / official",1,"none","yes","BadLoan"
"333","0 < =  ... < 200 DM",60,"existing credits paid back duly till now","car (new)",7408,"100 < =  ... < 500 DM","... < 1 year",4,"female : divorced/separated/married","none",2,"if not A121 : building society savings agreement/life insurance",24,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","BadLoan"
"334","no checking account",48,"critical account/other credits existing (not at this bank)","car (used)",11590,"100 < =  ... < 500 DM","1 < =  ... < 4 years",2,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",24,"bank","rent",2,"unskilled - resident",1,"none","yes","BadLoan"
"335","... < 0 DM",24,"no credits taken/all credits paid back duly","furniture/equipment",4110,"... < 100 DM",".. > =  7 years",3,"male : single","none",4,"unknown / no property",23,"bank","rent",2,"skilled employee / official",2,"none","yes","BadLoan"
"336","... < 0 DM",6,"critical account/other credits existing (not at this bank)","furniture/equipment",3384,"... < 100 DM","1 < =  ... < 4 years",1,"male : divorced/separated","none",4,"real estate",44,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"337","0 < =  ... < 200 DM",13,"existing credits paid back duly till now","radio/television",2101,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","guarantor",4,"if not A121 : building society savings agreement/life insurance",23,"none","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"338","... < 0 DM",15,"existing credits paid back duly till now","domestic appliances",1275,"unknown/ no savings account","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",24,"none","rent",1,"skilled employee / official",1,"none","yes","BadLoan"
"339","... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",4169,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",4,"if not A121 : building society savings agreement/life insurance",28,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"340","0 < =  ... < 200 DM",10,"existing credits paid back duly till now","furniture/equipment",1521,"... < 100 DM","1 < =  ... < 4 years",4,"male : divorced/separated","none",2,"if not A121/A122 : car or other, not in attribute 6",31,"none","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"341","0 < =  ... < 200 DM",24,"critical account/other credits existing (not at this bank)","education",5743,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",4,"unknown / no property",24,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"342","... < 0 DM",21,"existing credits paid back duly till now","furniture/equipment",3599,"... < 100 DM","4 < =  ... < 7 years",1,"female : divorced/separated/married","none",4,"if not A121/A122 : car or other, not in attribute 6",26,"none","rent",1,"unskilled - resident",1,"none","yes","GoodLoan"
"343","0 < =  ... < 200 DM",18,"existing credits paid back duly till now","radio/television",3213,"500 < =  ... < 1000 DM","... < 1 year",1,"male : married/widowed","none",3,"real estate",25,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"344","0 < =  ... < 200 DM",18,"existing credits paid back duly till now","business",4439,"... < 100 DM",".. > =  7 years",1,"male : single","co-applicant",1,"real estate",33,"bank","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"345","... > =  200 DM / salary assignments for at least 1 year",10,"existing credits paid back duly till now","car (new)",3949,"... < 100 DM","... < 1 year",1,"male : single","guarantor",1,"if not A121 : building society savings agreement/life insurance",37,"none","own",1,"unskilled - resident",2,"none","yes","GoodLoan"
"346","no checking account",15,"critical account/other credits existing (not at this bank)","radio/television",1459,"... < 100 DM","1 < =  ... < 4 years",4,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",43,"none","own",1,"unskilled - resident",1,"none","yes","GoodLoan"
"347","0 < =  ... < 200 DM",13,"critical account/other credits existing (not at this bank)","radio/television",882,"... < 100 DM","... < 1 year",4,"male : single","guarantor",4,"real estate",23,"none","own",2,"skilled employee / official",1,"none","yes","GoodLoan"
"348","0 < =  ... < 200 DM",24,"existing credits paid back duly till now","radio/television",3758,"500 < =  ... < 1000 DM","unemployed",1,"female : divorced/separated/married","none",4,"unknown / no property",23,"none","rent",1,"unemployed/ unskilled - non-resident",1,"none","yes","GoodLoan"
"349","no checking account",6,"delay in paying off in the past","business",1743,"100 < =  ... < 500 DM","1 < =  ... < 4 years",1,"male : single","none",2,"real estate",34,"none","own",2,"unskilled - resident",1,"none","yes","GoodLoan"
"350","0 < =  ... < 200 DM",9,"critical account/other credits existing (not at this bank)","education",1136,".. > =  1000 DM",".. > =  7 years",4,"male : single","none",3,"unknown / no property",32,"none","for free",2,"skilled employee / official",2,"none","yes","BadLoan"
"351","no checking account",9,"existing credits paid back duly till now","domestic appliances",1236,"... < 100 DM","... < 1 year",1,"female : divorced/separated/married","none",4,"real estate",23,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"352","0 < =  ... < 200 DM",9,"existing credits paid back duly till now","furniture/equipment",959,"... < 100 DM","1 < =  ... < 4 years",1,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",29,"none","own",1,"skilled employee / official",1,"none","no","BadLoan"
"353","no checking account",18,"critical account/other credits existing (not at this bank)","car (used)",3229,"unknown/ no savings account","unemployed",2,"male : single","none",4,"unknown / no property",38,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","GoodLoan"
"354","... < 0 DM",12,"no credits taken/all credits paid back duly","radio/television",6199,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",2,"if not A121 : building society savings agreement/life insurance",28,"none","rent",2,"skilled employee / official",1,"yes, registered under the customers name","yes","BadLoan"
"355","no checking account",10,"existing credits paid back duly till now","education",727,"500 < =  ... < 1000 DM",".. > =  7 years",4,"male : single","none",4,"unknown / no property",46,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"356","0 < =  ... < 200 DM",24,"existing credits paid back duly till now","car (new)",1246,"... < 100 DM","... < 1 year",4,"male : single","none",2,"real estate",23,"stores","own",1,"unskilled - resident",1,"none","yes","BadLoan"
"357","no checking account",12,"critical account/other credits existing (not at this bank)","radio/television",2331,"unknown/ no savings account",".. > =  7 years",1,"male : single","co-applicant",4,"real estate",49,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"358","no checking account",36,"delay in paying off in the past","radio/television",4463,"... < 100 DM","1 < =  ... < 4 years",4,"male : single","none",2,"if not A121/A122 : car or other, not in attribute 6",26,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","BadLoan"
"359","no checking account",12,"existing credits paid back duly till now","radio/television",776,"... < 100 DM","1 < =  ... < 4 years",4,"male : married/widowed","none",2,"real estate",28,"none","own",1,"skilled employee / official",1,"none","yes","GoodLoan"
"360","... < 0 DM",30,"existing credits paid back duly till now","furniture/equipment",2406,"... < 100 DM","4 < =  ... < 7 years",4,"female : divorced/separated/married","none",4,"real estate",23,"none","rent",1,"skilled employee / official",1,"none","yes","BadLoan"
"361","0 < =  ... < 200 DM",18,"existing credits paid back duly till now","education",1239,"unknown/ no savings account","1 < =  ... < 4 years",4,"male : single","none",4,"unknown / no property",61,"none","for free",1,"skilled employee / official",1,"none","yes","GoodLoan"
"362","... > =  200 DM / salary assignments for at least 1 year",12,"existing credits paid back duly till now","radio/television",3399,"unknown/ no savings account",".. > =  7 years",2,"male : single","none",3,"if not A121/A122 : car or other, not in attribute 6",37,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","GoodLoan"
"363","... > =  200 DM / salary assignments for at least 1 year",12,"delay in paying off in the past","car (new)",2247,"... < 100 DM","1 < =  ... < 4 years",2,"female : divorced/separated/married","none",2,"if not A121/A122 : car or other, not in attribute 6",36,"stores","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
"364","no checking account",6,"existing credits paid back duly till now","furniture/equipment",1766,"... < 100 DM","1 < =  ... < 4 years",1,"male : married/widowed","none",2,"if not A121 : building society savings agreement/life insurance",21,"none","rent",1,"skilled employee / official",1,"none","yes","GoodLoan"
"365","... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",2473,"... < 100 DM","unemployed",4,"male : single","none",1,"if not A121/A122 : car or other, not in attribute 6",25,"none","own",1,"unemployed/ unskilled - non-resident",1,"none","yes","BadLoan"
"366","no checking account",12,"existing credits paid back duly till now","business",1542,"... < 100 DM","4 < =  ... < 7 years",2,"male : single","none",4,"if not A121/A122 : car or other, not in attribute 6",36,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","GoodLoan"
